participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.wealth,participant.comprehension_check,participant.comprehension_check1,participant.comprehension_check2,participant.manipulation_check,participant.human_check,participant.feedback,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.fake_participant,session.config.report_other_wealth,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,honesty.1.player.id_in_group,honesty.1.player.role,honesty.1.player.payoff,honesty.1.player.pay,honesty.1.player.wealth,honesty.1.player.wealth_other,honesty.1.player.true_amount,honesty.1.player.reported_amount,honesty.1.player.comprehension_check1,honesty.1.player.comprehension_check2,honesty.1.player.human_check,honesty.1.player.feedback,honesty.1.group.id_in_subsession,honesty.1.subsession.round_number,fhonesty.1.player.id_in_group,fhonesty.1.player.role,fhonesty.1.player.payoff,fhonesty.1.player.pay,fhonesty.1.player.wealth,fhonesty.1.player.wealth_other,fhonesty.1.player.true_amount,fhonesty.1.player.reported_amount,fhonesty.1.player.comprehension_check1,fhonesty.1.player.comprehension_check2,fhonesty.1.player.human_check,fhonesty.1.player.feedback,fhonesty.1.group.id_in_subsession,fhonesty.1.subsession.round_number
1,v65syez4,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:44.474246,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,1,,0.0,2050,2050,0,4200,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
2,v72q0i4s,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.790004,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,2,,0.0,1150,1150,0,5100,6000,1,1,1,No specific feedback.,1,1,,,,,,,,,,,,,,
3,a2u3y9p5,,0,4,4,honesty,PayoffThanks,2024-04-30 17:13:14.845283,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,3,,0.0,2250,2250,0,4000,6000,2,1,1,,1,1,,,,,,,,,,,,,,
4,8z4x3lyw,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.646796,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,4,,0.0,2150,2150,0,4100,6000,1,1,1,,1,1,,,,,,,,,,,,,,
5,4ppl0cnx,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.820975,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,5,,0.0,1450,1450,0,4800,6000,1,1,1,,1,1,,,,,,,,,,,,,,
6,cko09zc8,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.982341,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,6,,0.0,350,350,0,5900,6000,2,1,1,The experiment was intriguing. I appreciated the decision-making aspect and how it stimulated strategic thinking. More variation in scenarios and clearer explanations could further improve participant understanding and engagement.,1,1,,,,,,,,,,,,,,
7,i00j2o8t,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.775545,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,7,,0.0,1800,1800,0,4450,6000,2,1,1,,1,1,,,,,,,,,,,,,,
8,69s7l4ze,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.816430,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,8,,0.0,700,700,0,5550,6000,1,1,1,The experiment was intuitive and the decision-making process was engaging. I appreciate scenarios that require a balance of strategy and risk management.,1,1,,,,,,,,,,,,,,
9,uo316wr0,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.666261,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,9,,0.0,450,450,0,5800,6000,2,1,1,No specific feedback.,1,1,,,,,,,,,,,,,,
10,2a2jr61u,,0,4,4,honesty,PayoffThanks,2024-04-30 17:11:43.659464,1,,,0.0,,,,,,,,ds2o04ik,,,,,0,0,1,1.0,0.0,honesty,10,,0.0,300,300,0,5950,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
1,k518n178,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:20.332827,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,1,,0.0,1000,1000,500,4750,5500,1,1,1,No specific feedback.,1,1
2,p60usf63,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:22.829749,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,2,,0.0,900,900,0,5350,6000,2,1,1,The experiment provided interesting insights into decision-making and risk management. I appreciated the clear instructions and the thought-provoking scenario.,1,1
3,hda0l7k6,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:21.209498,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,3,,0.0,1800,1800,0,4450,6000,1,1,2,No feedback,1,1
4,3ryzjkbo,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:22.148002,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,4,,0.0,2100,2100,0,4150,6000,1,1,1,No specific feedback.,1,1
5,0g5lf1wp,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:21.185621,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,5,,0.0,500,500,300,5450,5700,2,1,1,"This was an interesting experiment, though it would be helpful to have more context on how the surplus is determined and examples of successful strategies.",1,1
6,51dkl59j,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:21.816081,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,6,,0.0,500,500,300,5450,5700,1,1,1,No specific feedback.,1,1
7,64ppos07,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:22.659515,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,7,,0.0,900,900,0,5350,6000,1,1,2,Not applicable,1,1
8,4rmefkrb,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:21.206575,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,8,,0.0,250,250,300,5700,5700,1,2,1,,1,1
9,0bevyxwq,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:20.360336,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,9,,0.0,1850,1850,0,4400,6000,1,1,1,This was an interesting experiment. It reveals how information asymmetry can affect decision-making in budgeting processes.,1,1
10,u130sr78,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:13:20.358032,1,,,0.0,,,,,,,,i0o8awpd,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,10,,0.0,1400,1400,0,4850,6000,1,1,1,No specific feedback,1,1
1,7xkie2af,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:11.015556,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,1,,0.0,1500,1500,0,4750,6000,1,1,1,,1,1,,,,,,,,,,,,,,
2,hmbdai0n,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:10.882000,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,2,,0.0,1000,1000,0,5250,6000,1,1,1,,1,1,,,,,,,,,,,,,,
3,hrmtkqq2,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:11.396457,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,3,,0.0,2050,2050,0,4200,6000,1,1,1,No feedback,1,1,,,,,,,,,,,,,,
4,k0j2nq6i,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:10.955190,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,4,,0.0,700,700,0,5550,6000,1,1,1,,1,1,,,,,,,,,,,,,,
5,06fdfohk,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:10.909167,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,5,,0.0,2200,2200,0,4050,6000,1,1,1,,1,1,,,,,,,,,,,,,,
6,th66ror9,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:11.539445,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,6,,0.0,650,650,0,5600,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
7,friwm3td,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:11.134700,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,7,,0.0,2250,2250,0,4000,6000,1,1,1,,1,1,,,,,,,,,,,,,,
8,lwq6vwgf,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:10.952103,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,8,,0.0,1250,1250,0,5000,6000,2,1,1,No feedback,1,1,,,,,,,,,,,,,,
9,qfjexdad,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:11.301650,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,9,,0.0,1550,1550,0,4700,6000,1,1,1,"No specific feedback, thank you.",1,1,,,,,,,,,,,,,,
10,pujl7o1j,,0,4,4,honesty,PayoffThanks,2024-04-30 17:30:11.043423,1,,,0.0,,,,,,,,coruppwk,,,,,0,0,1,1.0,0.0,honesty,10,,0.0,1450,1450,0,4800,6000,2,1,1,This experiment was intriguing and provided useful insights into decision-making processes and risk assessment. I appreciated the straightforwardness of the tasks but would enjoy more complexity or variations in the tasks for a broader understanding of decision-making.,1,1,,,,,,,,,,,,,,
1,tivd7tbg,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:24.018964,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,1,,0.0,1100,1100,0,5150,6000,1,1,1,This experiment was insightful in understanding how budgeting decisions are influenced by private information and incentives.,1,1
2,nbji1nxq,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:24.286803,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,2,,0.0,850,850,1200,4200,4800,1,1,1,The experiment provides interesting insights into decision-making and budgeting processes in organizations. It would be helpful to understand more about the implications of the different strategies.,1,1
3,gtzzuawl,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:23.605463,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,3,,0.0,550,550,0,5700,6000,1,1,1,This experiment was insightful in understanding budgeting and profit maximization strategies.,1,1
4,662p3g2o,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:23.799240,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,4,,0.0,500,500,0,5750,6000,1,1,2,The experiment provided clear insight into budgeting strategies and the implications of possessing exclusive information within a firm. It was a valuable simulation of decision-making processes in a corporate setting.,1,1
5,s4qf2ufb,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:24.154819,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,5,,0.0,350,350,0,5900,6000,1,1,2,No specific feedback,1,1
6,run7dg1s,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:23.948584,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,6,,0.0,500,500,1200,4550,4800,2,1,1,The experiment provides interesting insights into budgeting decisions and the balance between maximizing gains and maintaining credibility.,1,1
7,nlit4dre,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:24.279439,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,7,,0.0,850,850,100,5300,5900,1,1,2,The experiment was insightful and the mechanism to predict actual costs provided an interesting challenge. It would be beneficial to explore the impact of different levels of information transparency on decisions.,1,1
8,jinovjet,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:23.814438,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,8,,0.0,2150,2150,0,4100,6000,1,1,2,No specific feedback.,1,1
9,n42thiom,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:24.323127,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,9,,0.0,650,650,500,5100,5500,1,1,1,No feedback,1,1
10,v3ecxkj3,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:31:26.346648,1,,,0.0,,,,,,,,tol0vhhz,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,10,,0.0,2100,2100,0,4150,6000,1,1,2,N/A,1,1
1,3fi72jcg,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:48.740650,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,1,,0.0,800,800,0,5450,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
2,niuu3cj8,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:47.045151,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,2,,0.0,1200,1200,0,5050,6000,1,1,1,,1,1,,,,,,,,,,,,,,
3,1mq07jsr,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:47.647706,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,3,,0.0,450,450,0,5800,6000,2,1,1,No feedback,1,1,,,,,,,,,,,,,,
4,uksv08ut,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:48.789051,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,4,,0.0,2250,2250,0,4000,6000,1,1,1,No specific feedback.,1,1,,,,,,,,,,,,,,
5,6or87i8r,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:48.693839,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,5,,0.0,1450,1450,0,4800,6000,1,1,1,No specific feedback,1,1,,,,,,,,,,,,,,
6,hmcm8aa9,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:46.758022,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,6,,0.0,1900,1900,0,4350,6000,2,1,1,The experiment was insightful and made me think about how people might strategically report information to maximize benefits. It would be interesting to see how different incentive structures affect reporting behavior.,1,1,,,,,,,,,,,,,,
7,s8hmjzsi,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:46.776644,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,7,,0.0,700,700,0,5550,6000,1,1,1,The experiment was insightful. It would be interesting to see how decisions vary among participants under different conditions.,1,1,,,,,,,,,,,,,,
8,ih5temsj,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:48.862134,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,8,,0.0,1500,1500,0,4750,6000,1,1,1,No feedback,1,1,,,,,,,,,,,,,,
9,5z4o1ldk,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:46.923865,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,9,,0.0,1100,1100,0,5150,6000,1,1,1,No specific feedback.,1,1,,,,,,,,,,,,,,
10,nrab7jyo,,0,4,4,honesty,PayoffThanks,2024-04-30 17:36:46.867473,1,,,0.0,,,,,,,,ggdk0yx3,,,,,0,0,1,1.0,0.0,honesty,10,,0.0,350,350,0,5900,6000,2,1,1,,1,1,,,,,,,,,,,,,,
1,hlww65n4,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:02.051396,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,1,,0.0,1400,1400,0,4850,6000,1,1,1,,1,1
2,3chfd6cv,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:00.184158,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,2,,0.0,750,750,0,5500,6000,1,1,2,No feedback,1,1
3,56l4z5zw,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:00.167138,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,3,,0.0,1200,1200,0,5050,6000,2,1,1,No feedback,1,1
4,vi5sutm4,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:01.364950,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,4,,0.0,950,950,600,4700,5400,2,1,1,No feedback,1,1
5,vgs7dngg,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:37:59.789125,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,5,,0.0,900,900,500,4850,5500,2,1,1,The experiment was engaging and made me think critically about decision-making in budgeting processes.,1,1
6,uveyi2fl,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:37:59.664519,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,6,,0.0,1400,1400,0,4850,6000,1,1,1,,1,1
7,v50oghkj,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:02.032300,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,7,,0.0,950,950,0,5300,6000,1,1,1,No specific feedback,1,1
8,lohg6w57,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:00.218970,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,8,,0.0,1100,1100,0,5150,6000,1,1,1,This simulation provides interesting insights into budgetary decision-making processes and their implications on personal incentives.,1,1
9,86c32hx2,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:00.020909,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,9,,0.0,300,300,0,5950,6000,2,1,1,The experiment provides interesting insights into budgeting strategies and the impact of cost predictions on profitability.,1,1
10,waay3lcs,,0,4,4,fhonesty,PayoffThanks,2024-04-30 17:38:00.025404,1,,,0.0,,,,,,,,2hfuwt0u,,,,,0,,1,1.0,0.0,fhonesty,,,,,,,,,,,,,,,10,,0.0,450,450,0,5800,6000,1,1,1,No specific feedback.,1,1
